County Name,Date,Year,Month,Day,Hour,PM2.5,PM10,NO2,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_100m (km/h),Average Traffic Density
Cook,2020-01-03,2020,1,3,18,10.9,33.0,8.3,1.0,82,0.0,14.3,
Cook,2020-01-03,2020,1,3,19,11.3,28.0,9.4,1.0,83,0.0,12.6,
Cook,2020-01-03,2020,1,3,20,11.0,26.0,13.7,0.9,84,0.0,13.3,
Cook,2020-01-03,2020,1,3,21,9.5,30.0,12.6,0.8,84,0.0,16.6,
Cook,2020-01-03,2020,1,3,22,13.5,20.0,13.6,0.8,83,0.0,15.1,
Cook,2020-01-03,2020,1,3,23,10.5,23.0,11.4,0.8,83,0.0,14.8,
Cook,2020-01-04,2020,1,4,0,8.2,26.0,10.8,0.7,83,0.0,15.1,
Cook,2020-01-04,2020,1,4,1,12.0,26.0,13.4,0.4,84,0.0,17.6,
Cook,2020-01-04,2020,1,4,2,10.2,25.0,14.0,-0.1,87,0.1,21.7,
Cook,2020-01-04,2020,1,4,3,9.5,21.0,13.0,-0.7,90,0.7,20.8,
Cook,2020-01-04,2020,1,4,4,9.1,21.0,16.1,-1.1,89,0.3,23.5,
Cook,2020-01-04,2020,1,4,5,9.9,23.0,19.3,-1.4,87,0.1,22.7,
Cook,2020-01-04,2020,1,4,6,13.3,26.0,20.0,-1.1,91,0.1,21.0,
Cook,2020-01-04,2020,1,4,7,15.5,24.0,16.7,-1.1,88,0.4,24.7,
Cook,2020-01-04,2020,1,4,8,15.1,21.0,17.3,-1.0,85,0.3,25.4,
Cook,2020-01-04,2020,1,4,9,11.2,19.0,13.4,-0.4,79,0.0,23.4,
Cook,2020-01-04,2020,1,4,10,11.3,19.0,11.6,0.4,72,0.0,25.2,
Cook,2020-01-04,2020,1,4,11,7.0,25.0,9.4,1.1,64,0.0,25.0,
Cook,2020-01-04,2020,1,4,12,5.2,24.0,8.7,1.7,61,0.0,23.6,
Cook,2020-01-04,2020,1,4,13,5.5,24.0,6.5,1.6,64,0.0,27.2,
Cook,2020-01-04,2020,1,4,14,6.3,21.0,7.9,1.1,64,0.0,28.2,
Cook,2020-01-04,2020,1,4,15,4.2,25.0,7.6,1.0,66,0.0,26.8,
Cook,2020-01-04,2020,1,4,16,3.2,14.0,6.7,0.6,69,0.0,23.2,
Cook,2020-01-04,2020,1,4,17,1.8,10.0,4.3,-0.1,71,0.0,26.7,
Cook,2020-01-04,2020,1,4,18,1.5,15.0,5.5,-1.0,70,0.0,21.2,
Cook,2020-01-04,2020,1,4,19,2.2,14.0,7.6,-1.3,69,0.0,22.3,
Cook,2020-01-04,2020,1,4,20,3.3,16.0,6.6,-1.5,71,0.0,18.7,
Cook,2020-01-04,2020,1,4,21,3.2,13.0,5.1,-1.7,74,0.0,16.5,
Cook,2020-01-04,2020,1,4,22,6.7,17.0,13.9,-2.0,76,0.0,18.8,
Cook,2020-01-04,2020,1,4,23,5.2,19.0,12.5,-2.5,75,0.0,24.8,
Cook,2020-01-05,2020,1,5,0,7.1,20.0,11.8,-3.3,77,0.0,24.6,
Cook,2020-01-05,2020,1,5,1,9.4,18.0,10.9,-3.9,80,0.0,21.3,
Cook,2020-01-05,2020,1,5,2,7.3,20.0,8.0,-4.4,84,0.0,17.7,
Cook,2020-01-05,2020,1,5,3,6.1,14.0,8.0,-4.5,85,0.0,21.7,
Cook,2020-01-05,2020,1,5,4,11.3,18.0,6.8,-4.7,86,0.0,24.0,
Cook,2020-01-05,2020,1,5,5,12.5,23.0,7.0,-4.5,84,0.0,26.8,
Cook,2020-01-05,2020,1,5,6,6.1,18.0,6.7,-4.7,85,0.0,28.1,
Cook,2020-01-05,2020,1,5,7,3.6,18.0,6.5,-4.1,84,0.0,35.1,
Cook,2020-01-05,2020,1,5,8,10.8,24.0,7.2,-3.0,83,0.0,39.4,
Cook,2020-01-05,2020,1,5,9,7.0,20.0,6.3,-1.2,76,0.0,40.9,
Cook,2020-01-05,2020,1,5,10,3.5,20.0,8.0,0.1,73,0.1,44.1,
Cook,2020-01-05,2020,1,5,11,1.6,35.0,8.7,2.5,67,0.0,44.1,
Cook,2020-01-05,2020,1,5,12,2.2,35.0,7.9,3.3,63,0.0,49.3,
Cook,2020-01-05,2020,1,5,13,-0.1,25.0,8.2,5.3,58,0.0,50.5,
Cook,2020-01-05,2020,1,5,14,0.5,21.0,10.8,5.8,62,0.0,46.5,
Cook,2020-01-05,2020,1,5,15,5.3,22.0,10.9,7.2,64,0.0,48.2,
Cook,2020-01-05,2020,1,5,16,5.6,19.0,10.4,6.1,64,0.0,44.3,
Cook,2020-01-05,2020,1,5,17,3.1,21.0,8.0,4.7,66,0.0,42.9,
Cook,2020-01-05,2020,1,5,18,-0.7,22.0,5.2,3.8,73,0.0,39.2,
Cook,2020-01-05,2020,1,5,19,2.4,16.0,3.5,3.0,74,0.0,40.7,
Cook,2020-01-05,2020,1,5,20,0.4,16.0,4.2,1.4,77,0.0,40.2,
Cook,2020-01-05,2020,1,5,21,0.1,12.0,3.6,0.8,78,0.0,38.6,
Cook,2020-01-05,2020,1,5,22,3.0,16.0,3.5,0.6,76,0.0,36.6,
