ID,SiteID,ObservationTimeUTC,Value
179535,36061NY09929,2020-01-05 13:00:00.000,5.31
179539,36061NY09929,2020-01-05 14:00:00.000,5.24
179543,36061NY09929,2020-01-05 15:00:00.000,9.71
179547,36061NY09929,2020-01-05 16:00:00.000,6.66
179551,36061NY09929,2020-01-05 17:00:00.000,7.72
179555,36061NY09929,2020-01-05 18:00:00.000,8.26
179559,36061NY09929,2020-01-05 19:00:00.000,7.73
179563,36061NY09929,2020-01-05 20:00:00.000,9.51
179567,36061NY09929,2020-01-05 21:00:00.000,9.76
179571,36061NY09929,2020-01-05 22:00:00.000,12.95
179575,36061NY09929,2020-01-05 23:00:00.000,12.42
179579,36061NY09929,2020-01-06 00:00:00.000,10.24
179583,36061NY09929,2020-01-06 01:00:00.000,10.16
179587,36061NY09929,2020-01-06 02:00:00.000,9.43
179591,36061NY09929,2020-01-06 03:00:00.000,7.26
179595,36061NY09929,2020-01-06 04:00:00.000,7.43
179599,36061NY09929,2020-01-06 05:00:00.000,6.46
179603,36061NY09929,2020-01-06 07:00:00.000,7.52
179607,36061NY09929,2020-01-06 08:00:00.000,9.24
179611,36061NY09929,2020-01-06 09:00:00.000,9.54
179615,36061NY09929,2020-01-06 10:00:00.000,10.85
179619,36061NY09929,2020-01-06 11:00:00.000,18.4
179623,36061NY09929,2020-01-06 12:00:00.000,21.64
179627,36061NY09929,2020-01-06 13:00:00.000,27.85
179631,36061NY09929,2020-01-06 14:00:00.000,31.24
179635,36061NY09929,2020-01-06 15:00:00.000,34.22
179639,36061NY09929,2020-01-06 16:00:00.000,26.51
179643,36061NY09929,2020-01-06 17:00:00.000,28.16
179646,36061NY09929,2020-01-06 18:00:00.000,25.6
179650,36061NY09929,2020-01-06 19:00:00.000,16.29
179654,36061NY09929,2020-01-06 20:00:00.000,16.09
179658,36061NY09929,2020-01-06 21:00:00.000,22.38
179662,36061NY09929,2020-01-06 22:00:00.000,19.89
179666,36061NY09929,2020-01-06 23:00:00.000,18.9
179670,36061NY09929,2020-01-07 00:00:00.000,19.16
179674,36061NY09929,2020-01-07 01:00:00.000,14.0
179678,36061NY09929,2020-01-07 02:00:00.000,11.36
